s,ADC 0,ADC 1
0.0178,2.502225,0.012232
0.018,2.502035,0.009937
0.0182,2.502041,0.007407
0.0184,2.502003,0.005061
0.0186,2.502149,0.003134
0.0188,2.502181,0.001208
0.019,2.502155,-0.000687
0.0192,2.502092,-0.002619
0.0194,2.501729,-0.004304
0.0196,2.493763,-0.006231
0.0198,2.485956,-0.007769
0.02,2.478326,-0.009346
0.0202,2.470945,-0.011139
0.0204,2.463506,-0.012493
0.0206,2.456512,-0.013822
0.0208,2.449354,-0.015182
0.021,2.442436,-0.016416
0.0212,2.435703,-0.017598
0.0214,2.429123,-0.018972
0.0216,2.422746,-0.020053
0.0218,2.412217,-0.021114
0.022,2.386106,-0.022132
0.0222,2.353077,-0.023028
0.0224,2.307167,-0.023848
0.0226,2.235953,-0.024796
0.0228,2.141012,-0.025571
0.023,2.04511,-0.02641
0.0232,1.94362,-0.027262
0.0234,1.844362,-0.027866
0.0236,1.745885,-0.028515
0.0238,1.648712,-0.029017
0.024,1.553116,-0.029526
0.0242,1.458003,-0.029958
0.0244,1.359768,-0.030568
0.0246,1.253478,-0.031185
0.0248,1.139692,-0.031312
0.025,1.024424,-0.031726
0.0252,0.907694,-0.031948
0.0254,0.788962,-0.032247
0.0256,0.669015,-0.032584
0.0258,0.54835,-0.032743
0.026,0.429115,-0.033169
0.0262,0.31229,-0.033182
0.0264,0.196374,-0.033442
0.0266,0.082321,-0.033283
0.0268,-0.028509,-0.03362
0.027,-0.137323,-0.033569
0.0272,-0.243022,-0.033646
0.0274,-0.344969,-0.033506
0.0276,-0.444336,-0.033499
0.0278,-0.538972,-0.033449
0.028,-0.623283,-0.033538
0.0282,-0.694733,-0.033417
0.0284,-0.752303,-0.033366
0.0286,-0.794271,-0.033315
0.0288,-0.817947,-0.032851
0.029,-0.82051,-0.032756
0.0292,-0.803687,-0.032546
0.0294,-0.770009,-0.032514
0.0296,-0.721162,-0.032209
0.0298,-0.659987,-0.032024
0.03,-0.591024,-0.031681
0.0302,-0.520528,-0.031528
0.0304,-0.454375,-0.031122
0.0306,-0.39554,-0.030874
0.0308,-0.341028,-0.030702
0.031,-0.285263,-0.0302
0.0312,-0.225175,-0.030066
0.0314,-0.16353,-0.029666
0.0316,-0.105337,-0.02936
0.0318,-0.060139,-0.029271
0.032,-0.030295,-0.028483
0.0322,-0.02142,-0.028152
0.0324,-0.034262,-0.027936
0.0326,-0.058174,-0.027777
0.0328,-0.084337,-0.027078
0.033,-0.111841,-0.026836
0.0332,-0.141118,-0.026582
0.0334,-0.170097,-0.025997
0.0336,-0.198085,-0.025476
0.0338,-0.224527,-0.025024
0.034,-0.250327,-0.024923
0.0342,-0.274824,-0.024274
0.0344,-0.29815,-0.024045
0.0346,-0.320689,-0.0236
0.0348,-0.342229,-0.022939
0.035,-0.36267,-0.022513
0.0352,-0.382322,-0.022329
0.0354,-0.401128,-0.021871
0.0356,-0.418555,-0.021477
0.0358,-0.435511,-0.020898
0.036,-0.45173,-0.020536
0.0362,-0.466531,-0.020167
0.0364,-0.480906,-0.019633
0.0366,-0.494518,-0.01941
0.0368,-0.507228,-0.018679
0.037,-0.519136,-0.018349
0.0372,-0.530523,-0.01798
0.0374,-0.541058,-0.017554
0.0376,-0.55088,-0.017115
0.0378,-0.560087,-0.01674
0.038,-0.568384,-0.016054
0.0382,-0.57607,-0.01585
0.0384,-0.583274,-0.015297
0.0386,-0.589975,-0.014966
0.0388,-0.595843,-0.01447
0.039,-0.601088,-0.014261
0.0392,-0.605736,-0.013707
0.0394,-0.610097,-0.013288
0.0396,-0.613944,-0.012925
0.0398,-0.616881,-0.012563
0.04,-0.619678,-0.012226
0.0402,-0.621859,-0.011813
0.0404,-0.62383,-0.0114
0.0406,-0.625064,-0.011012
0.0408,-0.625827,-0.010503
0.041,-0.626367,-0.010408
0.0412,-0.626341,-0.009925
0.0414,-0.625884,-0.00946
0.0416,-0.625114,-0.009041
0.0418,-0.623976,-0.009022
0.042,-0.622673,-0.008392
0.0422,-0.620842,-0.008036
0.0424,-0.618318,-0.007871
0.0426,-0.616309,-0.007248
0.0428,-0.613244,-0.006911
0.043,-0.610434,-0.00665
0.0432,-0.606988,-0.006371
0.0434,-0.603644,-0.006053
0.0436,-0.5996,-0.005678
0.0438,-0.595455,-0.005544
0.044,-0.591068,-0.005131
0.0442,-0.586618,-0.004838
0.0444,-0.581964,-0.004609
0.0446,-0.576935,-0.004107
0.0448,-0.571779,-0.004063
0.045,-0.5664,-0.003567
0.0452,-0.560939,-0.003211
0.0454,-0.555484,-0.003039
0.0456,-0.54952,-0.002766
0.0458,-0.543613,-0.002594
0.046,-0.53758,-0.002391
0.0462,-0.531241,-0.002041
0.0464,-0.525138,-0.001812
0.0466,-0.518589,-0.001602
0.0468,-0.512104,-0.001335
0.047,-0.505511,-0.000846
0.0472,-0.498753,-0.000877
0.0474,-0.491924,-0.000528
0.0476,-0.485287,-0.000439
0.0478,-0.478071,-0.000248
0.048,-0.471179,0.000127
0.0482,-0.464052,0.000305
0.0484,-0.456924,0.000388
0.0486,-0.449848,0.000661
0.0488,-0.442797,0.000858
0.049,-0.435282,0.001005
0.0492,-0.428282,0.001151
0.0494,-0.421041,0.001335
0.0496,-0.413977,0.001494
0.0498,-0.406634,0.001672
0.05,-0.399602,0.001761
0.0502,-0.392125,0.001812
0.0504,-0.384884,0.002041
0.0506,-0.377547,0.002314
0.0508,-0.370439,0.002416
0.051,-0.363369,0.002391
0.0512,-0.356229,0.002708
0.0514,-0.348651,0.00274
0.0516,-0.341803,0.002874
0.0518,-0.334632,0.003198
0.052,-0.327714,0.003351
0.0522,-0.320676,0.003363
0.0524,-0.313536,0.003421
0.0526,-0.306568,0.003465
0.0528,-0.299842,0.003688
0.053,-0.292734,0.003897
0.0532,-0.28616,0.00384
0.0534,-0.279554,0.003808
0.0536,-0.272891,0.004145
0.0538,-0.266113,0.004279
0.054,-0.259755,0.004158
0.0542,-0.25315,0.003916
0.0544,-0.246722,0.004355
0.0546,-0.240351,0.004355
0.0548,-0.234203,0.004412
0.055,-0.22782,0.004883
0.0552,-0.221901,0.0048
0.0554,-0.215772,0.004838
0.0556,-0.209827,0.005074
0.0558,-0.203819,0.005023
0.056,-0.198046,0.005061
0.0562,-0.192235,0.004934
0.0564,-0.186475,0.005054
0.0566,-0.180944,0.005156
0.0568,-0.175279,0.005264
0.057,-0.169932,0.005112
0.0572,-0.164642,0.005226
0.0574,-0.159372,0.005169
0.0576,-0.15398,0.005067
0.0578,-0.148932,0.00543
0.058,-0.144062,0.005366
0.0582,-0.139217,0.00536
0.0584,-0.134239,0.005379
0.0586,-0.129325,0.005608
0.0588,-0.124639,0.005665
0.059,-0.119864,0.005519
0.0592,-0.115763,0.005633
0.0594,-0.111001,0.005468
0.0596,-0.10664,0.005779
0.0598,-0.102501,0.005684
0.06,-0.098356,0.005773
0.0602,-0.094147,0.005817
0.0604,-0.090307,0.005671
0.0606,-0.086206,0.005417
0.0608,-0.082455,0.005767
0.061,-0.078271,0.005881
0.0612,-0.074717,0.005773
0.0614,-0.07115,0.005601
0.0616,-0.067679,0.005709
0.0618,-0.064119,0.005849
0.062,-0.060743,0.005811
0.0622,-0.057386,0.005747
0.0624,-0.054188,0.005671
0.0626,-0.051098,0.005684
0.0628,-0.047989,0.005709
0.063,-0.044956,0.00569
0.0632,-0.042044,0.005817
0.0634,-0.039031,0.005678
0.0636,-0.036189,0.005697
0.0638,-0.033716,0.005938
0.064,-0.030867,0.005678
0.0642,-0.028356,0.005576
0.0644,-0.025851,0.005728
0.0646,-0.023352,0.005639
0.0648,-0.021152,0.005461
0.065,-0.018927,0.005391
0.0652,-0.016785,0.005512
0.0654,-0.014343,0.005646
0.0656,-0.012302,0.005544
0.0658,-0.01023,0.005665
0.066,-0.008265,0.005627
0.0662,-0.006313,0.005525
0.0664,-0.004393,0.00555
0.0666,-0.002778,0.005398
0.0668,-0.00089,0.005411
0.067,0.000598,0.005544
0.0672,0.002244,0.005525
0.0674,0.003719,0.005391
0.0676,0.005372,0.00543
0.0678,0.006987,0.005468
0.068,0.008411,0.005417
0.0682,0.009753,0.005309
0.0684,0.010955,0.005309
0.0686,0.012258,0.005379
0.0688,0.01351,0.005525
0.069,0.014515,0.005519
0.0692,0.015628,0.005252
0.0694,0.016791,0.005245
0.0696,0.017579,0.005252
0.0698,0.018972,0.005366
0.07,0.019805,0.005061
0.0702,0.020746,0.005391
0.0704,0.021814,0.005169
0.0706,0.022163,0.005302
0.0708,0.023117,0.005442
0.071,0.023664,0.005258
0.0712,0.024509,0.005201
0.0714,0.025082,0.004965
0.0716,0.025915,0.005112
0.0718,0.026417,0.004953
0.072,0.026976,0.005054
0.0722,0.027447,0.00501
0.0724,0.028083,0.004921
0.0726,0.028248,0.004781
0.0728,0.028737,0.004533
0.073,0.029068,0.00508
0.0732,0.029558,0.005188
0.0734,0.029895,0.004711
0.0736,0.030219,0.004864
0.0738,0.030365,0.005035
0.074,0.030753,0.00487
0.0742,0.030759,0.004813
0.0744,0.031064,0.004896
0.0746,0.031331,0.004965
0.0748,0.031522,0.004876
0.075,0.031865,0.004737
