"s"	"ADC 0"	"ADC 1"
-0.01460000	0.004272	0.004209
-0.01440000	0.004552	0.004005
-0.01420000	0.004501	0.004228
-0.01400000	0.004641	0.004025
-0.01380000	0.004381	0.004177
-0.01360000	0.004400	0.004336
-0.01340000	0.004438	0.004228
-0.01320000	0.004228	0.004114
-0.01300000	0.004368	0.004107
-0.01280000	0.004476	0.004018
-0.01260000	0.004374	0.004183
-0.01240000	0.004222	0.004088
-0.01220000	0.004304	0.004190
-0.01200000	0.004603	0.004222
-0.01180000	0.004419	0.004082
-0.01160000	0.004260	0.004241
-0.01140000	0.004355	0.004196
-0.01120000	0.004508	0.004342
-0.01100000	0.004533	0.004203
-0.01080000	0.004514	0.004152
-0.01060000	0.004527	0.004145
-0.01040000	0.004419	0.004107
-0.01020000	0.004450	0.004158
-0.01000000	0.004279	0.003942
-0.00980000	0.004412	0.004152
-0.00960000	0.004323	0.004120
-0.00940000	0.004470	0.004253
-0.00920000	0.004336	0.004190
-0.00900000	0.004425	0.004190
-0.00880000	0.004527	0.003904
-0.00860000	0.004387	0.003993
-0.00840000	0.004482	0.004120
-0.00820000	0.004546	0.004120
-0.00800000	0.004616	0.004234
-0.00780000	0.004457	0.004234
-0.00760000	0.004317	0.004203
-0.00740000	0.004406	0.004183
-0.00720000	0.004571	0.003993
-0.00700000	0.004336	0.004272
-0.00680000	0.004412	0.004133
-0.00660000	0.004260	0.004120
-0.00640000	0.004406	0.004114
-0.00620000	0.004425	0.004196
-0.00600000	0.004355	0.004164
-0.00580000	0.004304	0.004368
-0.00560000	0.004419	0.004241
-0.00540000	0.004400	0.004247
-0.00520000	0.004495	0.004037
-0.00500000	0.004298	0.003827
-0.00480000	0.004361	0.003923
-0.00460000	0.004304	0.004279
-0.00440000	0.004419	0.004203
-0.00420000	0.004393	0.004177
-0.00400000	0.004450	0.004094
-0.00380000	0.004514	0.004075
-0.00360000	0.004381	0.004012
-0.00340000	0.004508	0.004330
-0.00320000	0.004361	0.004247
-0.00300000	0.004381	0.004114
