time,Node01.ax,Node01.ay,Node01.az,Node01.mx,Node01.my,Node01.mz,Node01.gx,Node01.gy,Node01.gz,Node02.ax,Node02.ay,Node02.az,Node02.mx,Node02.my,Node02.mz,Node02.gx,Node02.gy,Node02.gz
0.76,0.943312,-0.099732,0.180772,41.877739,-6.463882,16.085634,-0.623417,-0.22404,-0.08849,0.938494,-0.1382,0.149048,45.008293,1.925982,-2.37422,0.151498,0.233308,0.044763
0.77,0.941588,-0.099357,0.18379,41.877739,-6.463882,16.085634,-0.484715,-0.501976,-0.088456,0.936256,-0.136483,0.149241,45.008293,1.925982,-2.37422,0.456932,0.29401,-0.016052
0.78,0.941397,-0.099545,0.186054,42.098034,-6.12644,15.858689,-0.136894,-0.292665,0.050708,0.933645,-0.13572,0.148276,45.232239,1.594291,-2.452266,0.640167,0.110904,-0.076996
0.79,0.941397,-0.09917,0.186242,42.098034,-6.12644,15.858689,0.141784,-0.223216,-0.018824,0.932153,-0.136292,0.146152,45.232239,1.594291,-2.452266,0.823157,0.049461,-0.015986
0.8,0.942163,-0.097674,0.185299,42.098034,-6.379522,15.556098,0.420601,-0.362461,-0.018914,0.932153,-0.136865,0.143642,45.232239,1.428446,-2.140082,0.823339,-0.011594,-0.015952
0.81,0.942354,-0.096551,0.183413,42.098034,-6.379522,15.556098,0.62957,-0.293011,-0.019126,0.933645,-0.13801,0.142097,45.232239,1.428446,-2.140082,0.579735,-0.011479,-0.016299
0.82,0.943886,-0.097112,0.182092,42.2449,-6.12644,16.085634,0.769112,-0.153994,0.259046,0.937375,-0.13801,0.141518,45.157589,1.677214,-2.608358,0.336372,-0.072438,0.105561
0.83,0.945035,-0.098983,0.179829,42.2449,-6.12644,16.085634,0.977661,-0.224108,0.328523,0.939986,-0.137246,0.14287,45.157589,1.677214,-2.608358,0.032271,-0.072323,0.044745
0.84,0.944652,-0.100667,0.177376,41.65744,-6.295161,16.085634,1.047079,-0.293641,0.258991,0.939613,-0.137055,0.144994,45.306889,1.760137,-2.296174,0.03305,-0.072209,-0.015694
0.85,0.943886,-0.100293,0.176999,41.65744,-6.295161,16.085634,0.908219,-0.36303,0.259025,0.937748,-0.137055,0.146345,45.306889,1.760137,-2.296174,0.398964,-0.072191,-0.137237
0.86,0.944077,-0.098422,0.178697,42.171467,-6.548243,15.934338,0.212698,-0.432131,0.119684,0.93551,-0.136101,0.147118,45.381538,1.594291,-2.608358,0.764278,-0.132957,-0.014875
0.87,0.943312,-0.096925,0.181526,42.171467,-6.548243,15.934338,-0.135136,-0.501235,-0.158908,0.933085,-0.137055,0.145766,45.381538,1.594291,-2.608358,1.007283,-0.13294,-0.075445
0.88,0.942737,-0.097112,0.182847,42.098034,-6.463882,15.934338,-0.13542,-0.501061,-0.228804,0.932712,-0.1382,0.143642,45.381538,1.84306,-2.452266,1.067362,-0.133211,0.046663
0.89,0.942354,-0.098048,0.183601,42.098034,-6.463882,15.934338,0.003565,-0.431324,-0.089882,0.934204,-0.138773,0.141325,45.381538,1.84306,-2.452266,1.127921,-0.194553,0.107544
0.9,0.943312,-0.09917,0.183979,42.2449,-5.957718,15.858689,0.212666,-0.430866,0.049041,0.936069,-0.138964,0.139394,45.381538,1.677214,-2.296174,0.884193,-0.255799,0.229277
0.91,0.943886,-0.099545,0.182281,42.2449,-5.957718,15.858689,0.491743,-0.430695,0.187965,0.936256,-0.137437,0.139587,45.381538,1.677214,-2.296174,0.518987,-0.073234,0.107104
0.92,0.943503,-0.099357,0.180772,42.098034,-6.548243,16.161282,0.63196,-0.290823,0.118557,0.936816,-0.137246,0.13978,45.157589,1.511369,-2.37422,0.275968,-0.073406,-0.076417
0.93,0.942163,-0.099545,0.17832,42.098034,-6.548243,16.161282,0.702471,-0.151097,0.049149,0.936629,-0.137246,0.14036,45.157589,1.511369,-2.37422,0.093923,-0.012697,-0.015658
0.94,0.942163,-0.099732,0.176056,41.877739,-6.632604,16.085634,0.633438,-0.011515,0.118749,0.935323,-0.135147,0.14229,45.157589,1.760137,-2.686404,0.033827,0.048109,0.04535
0.95,0.942737,-0.099545,0.174547,41.877739,-6.632604,16.085634,0.285325,-0.080915,0.049219,0.936256,-0.135911,0.144414,45.157589,1.760137,-2.686404,-0.087838,0.231058,0.106607
0.96,0.943886,-0.099545,0.174358,42.024605,-6.379522,16.161282,-0.202461,-0.220164,-0.159682,0.938681,-0.1382,0.145187,45.456188,1.760137,-2.37422,-0.149233,0.231555,0.106761
0.97,0.944077,-0.099732,0.176622,42.024605,-6.379522,16.161282,-0.68943,-0.289848,-0.2995,0.938867,-0.1382,0.146731,45.456188,1.760137,-2.37422,-0.271956,0.41498,0.107163
0.98,0.944843,-0.099545,0.18096,41.804306,-6.295161,16.009985,-1.177211,-0.428813,-0.2305,0.937935,-0.139727,0.146538,45.530838,1.677214,-2.218128,-0.333933,0.293426,-0.01439
0.99,0.945609,-0.097486,0.184922,41.804306,-6.295161,16.009985,-1.038226,-0.359084,-0.161137,0.937189,-0.139536,0.14538,45.530838,1.677214,-2.218128,0.031163,0.049728,0.047108
1,0.944652,-0.095428,0.187563,42.391766,-6.379522,16.236929,-0.759571,-0.358779,-0.29999,0.935696,-0.137628,0.145187,45.306889,1.594291,-2.218128,0.030403,0.04965,-0.013594
1.01,0.943312,-0.09468,0.188317,42.391766,-6.379522,16.236929,-0.410813,-0.42804,-0.369397,0.932339,-0.136483,0.145187,45.306889,1.594291,-2.218128,0.151366,-0.011498,0.04741
1.02,0.941205,-0.095615,0.187563,41.951172,-6.379522,16.085634,-0.062327,-0.149196,-0.23035,0.93178,-0.136483,0.144801,45.008293,1.677214,-2.452266,0.577331,-0.011954,0.108045
